	LE6	LE7	LE8	LE9	LE10	LE11	LE12	LE13	LE14	LE15	LP1	LP2	LP3	LP4	LP5	LP6	LP7	LP8	LP9	LP10	LP11	LP12	LP13	LP14	LP15
	E14.5	E14.5	E14.5	E14.5	E14.5	E17.5	E17.5	E17.5	E17.5	E17.5	P0	P0	P0	P0	P0	P1	P1	P1	P1	P7	P7	P7	P21	P21	P21
PC32:2(16:1/16:1)	0.00823648	0.010894018	0.011445825	0.009894184	0.007912425	0.008112873	0.009499915	0.009089832	0.009507327	0.006288616	0.017538236	0.019052739	0.01603134	0.014884	0.016351438	0.009652845	0.013060304	0.008471302	0.01117451	0.001762487	0.001552815	0.00160062	0.003378396	0.003578054	0.003863415
PC32:1(16:0/16:1)	0.04951347	0.061590716	0.069091553	0.058254643	0.04839416	0.047105016	0.053378407	0.054870648	0.052799211	0.041665272	0.077741425	0.089140939	0.063164453	0.065508018	0.067729425	0.071574013	0.084154037	0.064988575	0.074136918	0.025720886	0.0217831	0.02324937	0.037740779	0.042736381	0.048680446
PC34:3(16:1/18:2)	0.002616745	0.003375472	0.00365447	0.003030679	0.002805683	0.002412295	0.00258198	0.002429613	0.002424766	0.002180182	0.002781844	0.003281567	0.002249179	0.002075274	0.002377644	0.002921551	0.003594766	0.002099024	0.002747839	0.001057941	0.00095326	0.000912688	0.001060852	0.001290312	0.001382294
PC34:2(16:0/18:2)	0.020281747	0.024926577	0.026500197	0.022232431	0.021012607	0.01513572	0.017084475	0.017797534	0.017419619	0.015805148	0.013435498	0.017243047	0.011809842	0.011339355	0.012693758	0.025018146	0.023626408	0.015453861	0.019916714	0.017067021	0.014503953	0.014320919	0.017001891	0.020765344	0.021003428
PC34:2(16:1/18:1)	0.017213158	0.021064435	0.023350507	0.019137754	0.016839093	0.011246692	0.013921255	0.013341861	0.011892299	0.010327896	0.010169436	0.01113391	0.008610424	0.008086393	0.009193267	0.007364696	0.008053332	0.005719126	0.007093306	0.002131208	0.001850021	0.001775558	0.001606619	0.001671478	0.002018012
PC34:1(16:0/18:1)	0.110420372	0.137367762	0.14786246	0.122143836	0.110625652	0.077905984	0.091431618	0.090042046	0.089688291	0.076320716	0.05753292	0.063959635	0.047355347	0.048386946	0.054211153	0.073702303	0.068066087	0.049754012	0.058976585	0.044324711	0.03729938	0.038091452	0.031451078	0.036807296	0.042745224
PC34:1(16:1/18:0)	0.010050141	0.012067168	0.013154187	0.010832795	0.009862537	0.006693565	0.008054962	0.00788236	0.007574039	0.006143937	0.005513087	0.00601859	0.004753394	0.004529438	0.005090676	0.004111884	0.00472088	0.003254876	0.004223564	0.001327992	0.001087218	0.001212459	0.001717378	0.00203184	0.002225968
PC36:5(16:0/20:5)	0.000557052	0.000650543	0.000719415	0.000611302	0.000528158	0.000606401	0.000618173	0.000604326	0.000671099	0.000546675	0.001201616	0.001562014	0.000828995	0.000997506	0.001103727	0.002126455	0.00247015	0.00185413	0.002239974	0.001403746	0.001154232	0.001141676	0.001246945	0.001321774	0.001262624
PC36:5(16:1/20:4)	0.005281098	0.006538119	0.007401955	0.006042825	0.005491478	0.003610647	0.003846254	0.003585266	0.003837155	0.003143803	0.003351275	0.004284671	0.00238847	0.002667332	0.003127357	0.00349416	0.003629725	0.002635062	0.003119399	0.001460641	0.001227973	0.001326797	0.001091228	0.001277681	0.001382116
